sample_id,u238_pb206_ratio_tw,u238_pb206_ratio_tw_1sigma_abs,pb207_pb206_ratio_tw,pb207_pb206_ratio_tw_1sigma_abs
8A,1.584133049594937,0.014873083659633548,0.24539294980209014,0.0012619207298258872
8A,1.5798964476621347,0.018917174956551003,0.24642924487943316,0.0016161457759995103
8A,1.605857411635054,0.023696390901502322,0.24022337379782047,0.0019415613337687584
8A,1.5858193029439016,0.020394656001353317,0.2449830894711368,0.0017256766356331472
8A,1.5872003962089258,0.015084529371792357,0.2446484987500031,0.001273512418394806
8A,1.5786742442122714,0.02252397140439096,0.24672995549076954,0.0019281239600456846
8A,1.5864092484596162,0.020984412568002066,0.24484004560825018,0.001773881736022993
8A,1.5825836244199525,0.011509160921406856,0.24577085743459393,0.0009789668971831428
8A,1.5835232974135993,0.008928177605247717,0.2455415200240771,0.0007582700996114317
8A,1.5786832210383779,0.01786539598740482,0.24672774395747207,0.0015293126070113057
8A,1.5888075483034434,0.013576773083860424,0.2442603803277588,0.00114324397515824
8A,1.5754292238164036,0.021947637268468673,0.24753220173394172,0.0018887792754802997
8A,1.5911404459178424,0.011052677433633733,0.24369935631619769,0.0009272012097524927
8A,1.581967552072724,0.008602799121703513,0.24592146712067153,0.0007324859168697639
8A,2.104512318162631,0.02489741095088152,0.16494056925489667,0.001068786186347892
8A,2.0785008919565446,0.03050220287819415,0.1675063247821636,0.0013463960457377664
8A,2.118653616082825,0.018442026038451676,0.1635867255187957,0.000779933112422276
8A,2.1014262392200047,0.014488732051703961,0.1652398026513389,0.0006240099649780988
8A,2.1125448633022783,0.020612204299973246,0.16416809491462833,0.0008773399054455707
8A,2.1234632677485488,0.024840570478065063,0.1631326497551712,0.001045245557581986
8A,2.099497575788215,0.027979546419292404,0.1654275075541824,0.0012075180910012414
8A,2.1288255005888272,0.01729386822001788,0.16263016246215664,0.0007236254033533306
8A,2.1210122173098647,0.027674211429611722,0.16336365129252728,0.001167476489308268
8A,2.1090210889935594,0.016626005962351913,0.1645058405168774,0.0007103116836970764
8A,2.0975582751133808,0.013419181160190453,0.16561679108231828,0.000580332608017434
8A,2.100472192700256,0.010657003392372735,0.16533258689020827,0.00045944894216428306
8A,2.106392969447266,0.02453633654780082,0.16475888704067834,0.0010511865619046033
8A,3.0498105223193526,0.039059808750506665,0.11180472937625528,0.0007842924894491356
8A,3.021680073443078,0.03229393975478583,0.11272206193853057,0.0006598452609028708
8A,3.016168415460434,0.01853526198149781,0.1129046385015407,0.00038002796224208783
8A,3.032898696339689,0.029452364176319246,0.1123533373759061,0.0005975976240794103
8A,3.05630956607059,0.03866228108988965,0.11159618353349991,0.000773214701827585
8A,3.0038697597234467,0.03164815301104107,0.11331546481250461,0.0006539086506473573
8A,2.9885887527762516,0.02402676220863287,0.11383260714273505,0.0005012523279594607
8A,3.018243704193104,0.028272413626587785,0.11283578262577768,0.0005789166701184029
8A,2.9845232199747302,0.027115248332083255,0.11397146076686807,0.0005671466434328565
8A,3.0446029686569123,0.02234554337480144,0.11197274123243402,0.00045012505878192
8A,3.0344254748465804,0.023710511875863153,0.112303454487235,0.0004806381030997969
8A,3.004438725825927,0.03490906973022174,0.11329635374893517,0.0007210269287365606
8A,3.0204612116722838,0.03877964740341433,0.11276235612716344,0.0007929674527870029
8A,21.684287887992497,0.19192151521129702,0.24468733738385579,0.0012079466543445075
8A,23.423226797840407,0.4203252520248496,0.24468733738385579,0.0024491084379149944
8A,15.148723057608922,0.13353218823818763,0.24468733738385579,0.0012030375858503705
8A,5.317979890542191,0.1171957564559223,0.24468733738385579,0.0030076995573312783
8A,25.11260740750316,0.5283450499984284,0.24468733738385579,0.0028714092278099884
8A,15.436919863403055,0.3141291898362286,0.24468733738385579,0.002777262311486381
8A,24.50651502095042,0.4226809951918798,0.24468733738385579,0.0023539672756913484
8A,4.312540587124834,0.041693050858028095,0.24468733738385579,0.0013194706554166844
8A,4.88050454641542,0.06199727896881316,0.24468733738385579,0.0017337128308685043
8A,19.485425946819753,0.17032113390718437,0.24468733738385579,0.0011929655212497003
8A,16.362085391619505,0.1882398193920533,0.24468733738385579,0.0015701534532768851
8A,11.715912390195635,0.2453594592825393,0.24468733738385579,0.002858221926360234
8A,5.984342250926952,0.11014133567905214,0.24468733738385579,0.002511904775450299
8A,24.80992894972485,0.3925622222706676,0.24468733738385579,0.0021594951798545436
8A,12.89485986017862,0.15298162025598402,0.24468733738385579,0.0016191679013747324
8A,17.212857829639862,0.24143539126119765,0.24468733738385579,0.0019143317690080571
8A,31.51238427015125,0.4815998425403104,0.24468733738385579,0.002085807998798438
8A,11.247370221997242,0.21034656521673822,0.24468733738385579,0.0025524291160394573
8A,9.645557496635867,0.09451937156478044,0.24468733738385579,0.0013374043989668025
8A,7.153281716379724,0.15792583594839646,0.24468733738385579,0.003013124740083072
8A,16.783980185421505,0.29648699764661957,0.24468733738385579,0.0024109041813666484
8A,5.432617414988238,0.10627214418376565,0.24468733738385579,0.0026698052191557243
