pb207_u235_ratio,pb206_u238_ratio,pb207_u235_ratio_1sigma_abs,pb206_u238_ratio_1sigma_abs,true_upper_intercept_ma,true_lower_intercept_ma,is_concordant,case_id,tier,sample_id
21.34894260584496,0.6312601080166215,0.2004406192413182,0.0059267650529235,3150,,True,8,A,8A
21.49658967905767,0.6329528757911689,0.2573932921551115,0.0075787753737352,3150,,True,8,A,8A
20.616466125942644,0.6227202943141874,0.30422118227203,0.0091889998510783,3150,,True,8,A,8A
21.290622053884476,0.6305888685700877,0.2738110906064313,0.0081097783517297,3150,,True,8,A,8A
21.243043336721616,0.6300401653052311,0.2018908966532634,0.0059878131341549,3150,,True,8,A,8A
21.539484241598014,0.633442905441826,0.3073178199376822,0.0090377415991893,3150,,True,8,A,8A
21.270277791435102,0.6303543685029495,0.281355069661174,0.0083380856141327,3150,,True,8,A,8A
21.402754020240465,0.6318781419000966,0.1556491147635366,0.0045952625223916,3150,,True,8,A,8A
21.370093677781615,0.631503181313038,0.1204882758009601,0.0035605239090897,3150,,True,8,A,8A
21.53916869678585,0.6334393035116004,0.2437511040083694,0.0071684070878875,3150,,True,8,A,8A
21.187888446248586,0.6294028506270741,0.1810560088715822,0.0053784108027579,3150,,True,8,A,8A
21.6540308271849,0.6347476515495547,0.3016668770711326,0.0088428036008334,3150,,True,8,A,8A
21.10822961917212,0.6284800330263457,0.1466259334770434,0.0043656655805218,3150,,True,8,A,8A
21.424209814689455,0.6321242168904039,0.1165056597624383,0.003437515295903,3150,,True,8,A,8A
10.8014475265308,0.4751694686553612,0.1277864118976556,0.0056214874250549,2500,,True,8,A,8A
11.106748502329184,0.4811159830961993,0.1629926152286716,0.0070604238762332,2500,,True,8,A,8A
10.64128424127827,0.4719978728041907,0.0926280915249656,0.0041085512961021,2500,,True,8,A,8A
10.83693479065674,0.4758672854352357,0.0747175615842188,0.0032809686403278,2500,,True,8,A,8A
10.709982494561988,0.4733627282295082,0.1044978267973764,0.0046186234582527,2500,,True,8,A,8A
10.587711059299792,0.4709287959853778,0.1238565256882368,0.0055089909604267,2500,,True,8,A,8A
10.859211508040405,0.4763044318470193,0.1447183440314579,0.0063476053100823,2500,,True,8,A,8A
10.5285114839192,0.4697425879779262,0.0855301151294369,0.0038160320850973,2500,,True,8,A,8A
10.614956156353118,0.471473003238202,0.1385001644920079,0.0061516117014718,2500,,True,8,A,8A
10.749947474054986,0.474153627585207,0.0847448570957148,0.0037378863020589,2500,,True,8,A,8A
10.881688096198026,0.4767447998296716,0.0696158698540455,0.0030499866973885,2500,,True,8,A,8A
10.847944828416171,0.4760834270861985,0.0550383791027891,0.0024154676815729,2500,,True,8,A,8A
10.779916484496544,0.4747452229972111,0.1255699495095636,0.0055300737967127,2500,,True,8,A,8A
5.05234803290618,0.3278892221932231,0.0647068880056967,0.0041993724582207,1850,,True,8,A,8A
5.141222351359909,0.3309417197369084,0.0549463612445213,0.0035369104934233,1850,,True,8,A,8A
5.158959754782121,0.3315464729602457,0.0317033591747538,0.0020374527840885,1850,,True,8,A,8A
5.105449868523523,0.3297175738862853,0.0495788299797714,0.0032018748509968,1850,,True,8,A,8A
5.03220059674566,0.3271919870622501,0.063657280051715,0.0041389748978942,1850,,True,8,A,8A
5.198930705626712,0.3329039139473429,0.0547748629689664,0.0035074070613334,1850,,True,8,A,8A
5.249361337060481,0.3346060909421041,0.0422022456169585,0.0026900659962525,1850,,True,8,A,8A
5.152268475973439,0.3313185077171691,0.0482621947543804,0.0031035180755318,1850,,True,8,A,8A
5.262923965490614,0.335061893071305,0.0478151717239307,0.0030441332727588,1850,,True,8,A,8A
5.0685949563989166,0.328450050891574,0.0372004197635908,0.002410624614838,1850,,True,8,A,8A
5.100615460428894,0.3295516756925987,0.0398553876017749,0.0025750637097505,1850,,True,8,A,8A
5.197069504780248,0.3328408702111566,0.0603856088578769,0.0038673330387441,1850,,True,8,A,8A
5.145135562965659,0.3310752662989332,0.0660583033490132,0.0042506694148062,1850,,True,8,A,8A
1.5551499610112494,0.0461163403274009,0.0091761290768001,0.0004081627193547,3150,0.0,False,8,A,8A
1.4396957240185797,0.042692666071619,0.0172233732855572,0.000766111594318,3150,0.0,False,8,A,8A
